Sr No,Time ,MI_Match No,Match_City,Match_Month,Match_Date,Match Type,Toss,Batting Sequence,Match Score_100,Match Score_150,Match Score_200,Match Score_250,Match_Stadium,Captain,Head Coach,No of BlowersBL,No of All Rounders,No of Batsman,Umpire_Sundaram Ravi,Umpire_Anil Chaudhary,Umpire_Nitin Menon,Umpire_Kumar Dharmasena,Umpire_Chris Gaffaney,Umpire_Others,Result
157,N,7,Kolkata,Apr,Even,Away,Won,2,0,0,0,1,"Eden Gardens, Kolkata",Rohit Sharma,John Wright,2,3,5,0,0,1,0,0,1,Lost
158,N,8,Others,Apr,Even,Away,Lost,2,0,1,0,0,Others,Rohit Sharma,John Wright,4,3,3,0,0,0,0,0,1,Lost
159,N,9,Others,Apr,Even,Away,Won,1,0,0,1,0,Others,Rohit Sharma,John Wright,2,4,4,0,0,1,0,0,1,Lost
160,N,10,Others,Apr,Even,Away,Won,2,0,0,1,0,Others,Rohit Sharma,John Wright,4,3,3,0,0,1,0,1,1,Win
161,N,11,Bengaluru,May,Odd,Away,Won,2,0,0,1,0,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,John Wright,4,3,3,0,0,1,0,0,1,Lost
162,N,12,Others,May,Even,Away,Won,2,0,0,1,0,Others,Rohit Sharma,John Wright,3,3,4,1,0,0,0,0,1,Win
163,N,13,Kolkata,May,Odd,Away,Lost,2,0,0,0,1,"Eden Gardens, Kolkata",Rohit Sharma,John Wright,2,4,4,0,1,0,1,0,1,Win
164,D/N,14,Delhi,May,Even,Away,Lost,1,0,0,1,0,"Arun Jaitley Stadium, Delhi",Rohit Sharma,John Wright,6,2,2,0,0,0,1,0,1,Lost
165,N,15,Others,Apr,Even,Away,Lost,2,0,0,1,0,Others,Rohit Sharma,John Wright,4,2,4,1,0,0,0,0,1,Lost
166,D/N,16,Bengaluru,Apr,Even,Away,Won,2,0,1,0,0,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,John Wright,5,3,2,0,1,0,0,0,1,Win
167,N,17,Others,Apr,Even,Away,Won,2,0,0,1,0,Others,Rohit Sharma,John Wright,4,2,4,0,1,0,0,0,1,Win
168,N,18,Others,Apr,Odd,Away,Lost,1,0,0,1,0,Others,Rohit Sharma,John Wright,2,4,4,0,1,0,0,1,1,Win
169,N,19,Delhi,May,Even,Away,Lost,2,0,0,0,1,"Arun Jaitley Stadium, Delhi",Rohit Sharma,John Wright,5,1,4,0,0,1,0,0,1,Win
170,N,1,Others,May,Even,Away,Won,1,0,1,0,0,Others,Rohit Sharma,John Wright,4,3,3,0,1,0,0,0,1,Lost
171,N,2,Kolkata,May,Odd,Away,Lost,2,0,0,1,0,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,4,3,3,1,0,0,0,0,1,Win
172,N,3,Kolkata,Apr,Odd,Away,Won,2,0,0,1,0,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,1,5,4,1,0,1,0,0,1,Win
173,N,4,Others,Apr,Even,Away,Lost,2,0,1,0,0,Others,Rohit Sharma,Robin Singh,3,4,3,0,0,0,1,0,1,Lost
174,D/N,5,Delhi,Apr,Odd,Away,Won,2,0,0,1,0,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Robin Singh,5,2,3,1,0,1,0,0,1,Lost
175,N,6,Others,Apr,Odd,Away,Lost,2,0,0,1,0,Others,Rohit Sharma,Robin Singh,3,3,4,0,0,1,0,0,1,Win
176,N,7,Others,May,Odd,Away,Won,2,0,0,1,0,Others,Rohit Sharma,Robin Singh,3,3,4,0,0,1,0,0,1,Win
177,N,8,Bengaluru,May,Odd,Away,Won,2,0,0,1,0,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,Robin Singh,4,3,3,0,0,0,0,0,1,Win
178,N,9,Others,May,Odd,Away,Lost,2,0,0,1,0,Others,Rohit Sharma,Robin Singh,3,3,4,0,0,0,0,0,1,Lost
179,N,10,Kolkata,Apr,Even,Away,Lost,2,0,0,1,0,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,2,5,3,1,0,0,0,0,1,Lost
180,N,11,Others,Apr,Even,Away,Won,1,0,0,1,0,Others,Rohit Sharma,Robin Singh,3,4,3,0,0,0,0,0,1,Lost
181,N,12,Bengaluru,Apr,Odd,Away,Lost,2,0,0,0,1,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,Robin Singh,3,3,4,0,0,0,0,0,1,Win
182,N,13,Delhi,Apr,Odd,Away,Won,2,0,0,1,0,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Robin Singh,4,2,4,0,0,0,0,1,1,Lost
183,D/N,14,Others,May,Odd,Away,Won,1,0,0,1,0,Others,Rohit Sharma,Robin Singh,3,2,5,1,0,0,0,0,1,Win
184,N,15,Chennai,May,Even,Away,Lost,1,0,0,1,0,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,Robin Singh,3,4,3,0,0,0,0,1,1,Win
185,N,16,Others,May,Odd,Away,Lost,1,0,1,0,0,Others,Rohit Sharma,Robin Singh,4,2,4,0,1,0,0,1,1,Win
186,N,17,Mumbai,May,Odd,Away,Won,1,0,0,1,0,"Wankhede Stadium, Mumbai",Rohit Sharma,Robin Singh,3,4,3,0,0,0,1,0,1,Win
187,N,1,Kolkata,May,Even,Away,Lost,2,0,0,0,1,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,3,4,3,0,0,0,1,0,1,Win
188,,2,Others,Apr,Odd,Away,Lost,2,0,1,0,0,Others,Rohit Sharma,Robin Singh,5,1,4,0,1,0,0,0,1,Lost
189,N,3,Others,Apr,Odd,Away,Won,1,0,1,0,0,Others,Rohit Sharma,Robin Singh,3,4,3,1,0,0,0,0,1,Lost
190,,4,Others,Apr,Odd,Away,Won,1,0,1,0,0,Others,Rohit Sharma,Robin Singh,4,3,3,0,1,0,0,0,1,Lost
191,N,5,Others,May,Even,Away,Lost,1,0,0,1,0,Others,Rohit Sharma,Robin Singh,4,2,4,0,0,0,1,0,1,Win
192,N,6,Others,May,Even,Away,Lost,2,0,1,0,0,Others,Rohit Sharma,Robin Singh,2,5,3,0,1,0,0,0,1,Lost
193,D/N,7,Others,May,Odd,Away,Won,1,0,0,1,0,Others,Rohit Sharma,Robin Singh,2,5,3,1,0,0,0,0,1,Win
194,N,8,Others,May,Odd,Away,Won,2,0,0,1,0,Others,Rohit Sharma,Robin Singh,2,3,5,0,0,0,1,0,1,Win
195,N,9,Bengaluru,Apr,Even,Away,Won,2,0,0,1,0,"M.Chinnaswamy Stadium, Bengaluru",Ricky Ponting,Robin Singh,4,3,3,0,0,0,0,0,1,Lost
196,N,10,Chennai,Apr,Even,Away,Won,1,0,1,0,0,"MA Chidambaram Stadium, Chepauk, Chennai",Ricky Ponting,Robin Singh,3,3,4,0,0,0,0,0,1,Win
197,N,11,Others,Apr,Odd,Away,Lost,1,0,0,1,0,Others,Ricky Ponting,Robin Singh,1,5,4,0,0,0,0,0,1,Lost
198,D/N,12,Delhi,Apr,Odd,Away,Won,1,0,0,1,0,"Arun Jaitley Stadium, Delhi",Ricky Ponting,Robin Singh,3,3,4,1,0,0,1,0,1,Lost
199,N,13,Kolkata,Apr,Even,Away,Lost,1,0,0,1,0,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,2,5,3,1,0,0,1,0,1,Win
200,D/N,14,Others,May,Odd,Away,Won,1,0,1,0,0,Others,Rohit Sharma,Robin Singh,4,4,2,0,1,0,0,0,1,Lost
201,D/N,15,Others,May,Odd,Away,Lost,1,0,1,0,0,Others,Rohit Sharma,Robin Singh,4,3,3,0,1,0,0,0,1,Win
202,D/N,16,Others,May,Even,Away,Won,2,0,0,1,0,Others,Rohit Sharma,Robin Singh,3,2,5,1,0,0,1,0,1,Lost
203,N,1,Delhi,May,Odd,Away,Lost,1,0,0,1,0,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Robin Singh,1,5,4,1,0,0,0,0,1,Lost
204,N,2,Kolkata,May,Even,Away,Won,1,0,1,0,0,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,1,5,4,0,0,0,1,0,1,Win
205,N,3,Chennai,Apr,Even,Away,Won,2,0,1,0,0,"MA Chidambaram Stadium, Chepauk, Chennai",Harbhajan Singh,Robin Singh,2,4,4,1,0,0,0,0,1,Win
206,N,4,Others,Apr,Odd,Away,Lost,1,0,1,0,0,Others,Harbhajan Singh,Robin Singh,4,1,5,0,1,0,1,0,1,Win
207,D/N,5,Others,Apr,Odd,Away,Lost,1,0,0,1,0,Others,Harbhajan Singh,Robin Singh,3,3,4,0,1,0,0,0,1,Win
208,N,6,Delhi,Apr,Odd,Away,Won,2,0,0,0,1,"Arun Jaitley Stadium, Delhi",Harbhajan Singh,Robin Singh,4,2,4,0,1,0,0,0,1,Lost
209,N,7,Others,May,Odd,Away,Won,1,0,1,0,0,Others,Harbhajan Singh,Robin Singh,5,2,3,0,0,0,0,0,1,Win
210,D/N,8,Kolkata,May,Even,Away,Won,1,0,0,1,0,"Eden Gardens, Kolkata",Harbhajan Singh,Robin Singh,1,6,3,1,0,0,0,0,1,Win
211,D/N,9,Bengaluru,May,Even,Away,Won,2,0,0,1,0,"M.Chinnaswamy Stadium, Bengaluru",Harbhajan Singh,Robin Singh,4,2,4,0,0,0,0,0,1,Win
212,N,10,Others,May,Even,Away,Lost,1,0,0,1,0,Others,Harbhajan Singh,Robin Singh,2,5,3,0,0,0,1,0,1,Win
213,N,11,Bengaluru,May,Odd,Away,Won,2,0,0,1,0,"M.Chinnaswamy Stadium, Bengaluru",Harbhajan Singh,Robin Singh,2,4,4,0,0,0,1,0,1,Lost
214,D/N,12,Delhi,Apr,Even,Away,Lost,1,1,0,0,0,"Arun Jaitley Stadium, Delhi",Sachin Tendulkar,Robin Singh,3,2,5,0,0,0,0,0,1,Win
215,N,13,Bengaluru,Apr,Even,Away,Won,2,0,1,0,0,"M.Chinnaswamy Stadium, Bengaluru",Sachin Tendulkar,Robin Singh,4,2,4,0,0,0,1,0,1,Win
216,D/N,14,Others,Apr,Even,Away,Lost,2,0,0,1,0,Others,Sachin Tendulkar,Robin Singh,4,1,5,0,0,0,1,0,1,Win
217,D/N,15,Others,Apr,Odd,Away,Lost,2,1,0,0,0,Others,Sachin Tendulkar,Robin Singh,3,4,3,1,0,0,0,0,1,Lost
218,N,16,Mumbai,May,Even,Away,Lost,2,0,0,1,0,Others,Sachin Tendulkar,Robin Singh,3,3,4,0,0,0,1,0,1,Win
219,N,1,Others,May,Even,Away,Won,2,0,0,1,0,Others,Sachin Tendulkar,Robin Singh,4,3,3,1,0,0,0,0,1,Lost
220,N,2,Kolkata,May,Even,Away,Won,2,0,0,1,0,"Eden Gardens, Kolkata",Sachin Tendulkar,Shaun Pollock,2,6,2,1,0,0,0,0,1,Win
221,N,3,Delhi,Mar,Odd,Away,Lost,2,0,0,0,1,"Arun Jaitley Stadium, Delhi",Sachin Tendulkar,Shaun Pollock,4,3,3,1,0,0,0,0,1,Win
222,N,4,Mumbai,Mar,Even,Away,Lost,2,0,0,1,0,Others,Sachin Tendulkar,Shaun Pollock,4,1,5,0,0,0,0,0,1,Win
223,N,5,Chennai,Apr,Even,Away,Lost,1,0,0,1,0,"MA Chidambaram Stadium, Chepauk, Chennai",Sachin Tendulkar,Shaun Pollock,4,1,5,0,0,0,0,0,1,Lost
224,N,6,Others,Apr,Odd,Away,Won,1,0,0,1,0,Others,Sachin Tendulkar,Shaun Pollock,3,2,5,0,0,0,0,0,1,Lost
225,N,7,Others,Apr,Odd,Away,Lost,2,0,0,1,0,Others,Sachin Tendulkar,Shaun Pollock,3,3,4,1,0,0,0,0,1,Win
226,D/N,8,Bengaluru,Apr,Odd,Away,Lost,2,0,0,1,0,"M.Chinnaswamy Stadium, Bengaluru",Sachin Tendulkar,Shaun Pollock,3,1,6,0,0,0,1,0,1,Win
227,N,9,Kolkata,Apr,Odd,Away,Won,1,0,1,0,0,"Eden Gardens, Kolkata",Others,Shaun Pollock,4,2,4,0,0,0,0,0,1,Lost
228,,10,Others,Apr,Even,Away,Lost,2,0,0,1,0,Others,Sachin Tendulkar,Shaun Pollock,2,4,4,0,0,0,0,0,1,Win
229,,11,Others,Apr,Odd,Away,Lost,1,0,0,1,0,Others,Sachin Tendulkar,Shaun Pollock,4,1,5,0,0,0,1,0,1,Lost
230,D/N,12,Others,Apr,Odd,Away,Won,1,0,0,1,0,Others,Sachin Tendulkar,Shaun Pollock,4,2,4,0,0,0,0,0,1,Win
231,D/N,13,Others,Apr,Odd,Away,Lost,1,0,1,0,0,Others,Sachin Tendulkar,Shaun Pollock,3,2,5,0,0,0,0,0,1,Lost
232,,14,Others,May,Odd,Away,Won,1,0,1,0,0,Others,Sachin Tendulkar,Shaun Pollock,4,2,4,0,0,0,0,0,1,Win
233,D/N,1,Others,May,Odd,Away,Won,1,0,1,0,0,Others,Sachin Tendulkar,Shaun Pollock,2,2,6,0,0,0,0,0,1,Lost
234,D/N,2,Others,May,Even,Away,Lost,1,0,1,0,0,Others,Sachin Tendulkar,Lalchand Rajput,3,1,6,0,0,0,1,0,1,Lost
235,D/N,3,Others,May,Even,Away,Won,1,0,1,0,0,Others,Sachin Tendulkar,Lalchand Rajput,4,3,3,0,0,0,0,0,1,Lost
236,,4,Others,May,Even,Away,Won,1,0,0,1,0,Others,Sachin Tendulkar,Lalchand Rajput,2,2,6,0,0,0,0,0,1,Win
237,D/N,5,Others,May,Even,Away,Lost,1,0,1,0,0,Others,Sachin Tendulkar,Lalchand Rajput,2,2,6,0,0,0,0,0,1,Win
238,,6,Others,May,Even,Away,Won,1,0,1,0,0,Others,Sachin Tendulkar,Lalchand Rajput,4,2,4,0,0,0,0,0,1,Lost
239,,7,Others,May,Odd,Away,Lost,2,0,0,1,0,Others,Sachin Tendulkar,Lalchand Rajput,4,2,4,1,0,0,0,0,1,Lost
240,N,8,Chennai,Apr,Odd,Away,Won,2,0,0,0,1,"MA Chidambaram Stadium, Chepauk, Chennai",Harbhajan Singh,Lalchand Rajput,2,2,6,0,0,0,0,0,1,Lost
241,N,9,Others,Apr,Odd,Away,Won,2,0,0,1,0,Others,Harbhajan Singh,Lalchand Rajput,2,2,6,0,0,0,0,0,1,Lost
242,N,10,Kolkata,Apr,Odd,Away,Lost,1,0,1,0,0,"Eden Gardens, Kolkata",Others,Lalchand Rajput,4,3,3,0,0,0,0,0,1,Win
243,N,11,Others,May,Even,Away,Lost,2,0,0,1,0,Others,Sachin Tendulkar,Lalchand Rajput,2,1,7,0,0,0,0,0,1,Win
244,N,12,Delhi,May,Even,Away,Lost,2,0,0,1,0,"Arun Jaitley Stadium, Delhi",Sachin Tendulkar,Lalchand Rajput,3,3,4,0,0,0,0,0,1,Lost
245,N,13,Others,May,Even,Away,Lost,2,0,1,0,0,Others,Sachin Tendulkar,Lalchand Rajput,4,3,3,0,0,0,0,0,1,Lost
246,D/N,14,Bengaluru,May,Even,Away,Won,2,0,1,0,0,"M.Chinnaswamy Stadium, Bengaluru",Sachin Tendulkar,Lalchand Rajput,4,0,6,0,0,0,0,0,1,Win
,,,,,,,,,,,,,,,Lalchand Rajput,,,,,,,,,,
